CMDLINE /home/james/zDev/.venvs/APPvenv/bin/python3 simul.py --list
MEM 0.375000 1699754296.3101
MEM 29.574219 1699754296.4105
MEM 45.199219 1699754296.5108
MEM 52.148438 1699754296.6113
MEM 54.148438 1699754296.7118
MEM 56.648438 1699754296.8122
MEM 59.773438 1699754296.9128
MEM 64.148438 1699754297.0132
MEM 71.648438 1699754297.1137
MEM 77.898438 1699754297.2141
MEM 77.898438 1699754297.3144
MEM 77.898438 1699754297.4147
MEM 77.898438 1699754297.5149
MEM 77.898438 1699754297.6152
MEM 77.898438 1699754297.7154
MEM 77.898438 1699754297.8156
MEM 77.898438 1699754297.9158
MEM 77.898438 1699754298.0160
MEM 77.898438 1699754298.1163
MEM 77.898438 1699754298.2166
MEM 77.898438 1699754298.3168
MEM 77.898438 1699754298.4171
MEM 77.898438 1699754298.5173
MEM 77.898438 1699754298.6176
MEM 77.898438 1699754298.7179
MEM 77.898438 1699754298.8182
MEM 77.898438 1699754298.9185
MEM 77.898438 1699754299.0187
MEM 77.898438 1699754299.1189
MEM 77.898438 1699754299.2191
MEM 77.898438 1699754299.3193
MEM 77.898438 1699754299.4196
MEM 77.898438 1699754299.5198
MEM 77.898438 1699754299.6200
MEM 77.898438 1699754299.7202
MEM 77.898438 1699754299.8205
MEM 77.898438 1699754299.9208
